code_fiche;code_bonification;date_debut;date_fin;date_limite_engagement;date_limite_achevement
BAT-TH-116 ;BAT-TH-116 ;2022-10-29;;2024-06-30;
BAR-TH-104;CDP-CH;2019-01-11;2023-10-06;2023-06-30;2023-12-31
BAR-TH-106;CDP-CH;2019-01-11;2023-10-06;2021-06-30;2021-12-31
BAR-TH-112;CDP-CH;2019-01-11;2022-09-30;2025-12-31;2026-12-31
BAR-TH-113;CDP-CH;2019-01-11;2022-03-31;2025-12-31;2026-12-31
BAR-TH-137;CDP-CH;2019-01-11;2022-08-31;2025-12-31;2026-12-31
BAR-TH-143;CDP-CH;2019-01-11;2023-02-28;2025-12-31;2026-12-31
BAR-TH-158;CDP-CH;2019-01-11;2020-09-30;2021-06-30;2021-12-31
BAR-TH-159;CDP-CH;2019-01-11;2023-03-31;2025-12-31;2026-12-31
BAR-TH-163;CDP-CH;2019-06-10;2021-10-31;2025-12-31;2026-12-31
BAR-TH-171;CDP-CH;2024-01-01;2023-10-06;2025-12-31;2026-12-31
BAR-TH-172;CDP-CH;2024-01-01;2023-10-06;2025-12-31;2026-12-31
BAR-EN-101;CDP-ISO;2019-01-11;2021-10-02;2020-08-31;2022-09-30
BAR-EN-103;CDP-ISO;2019-01-11;2021-10-02;2020-08-31;2022-09-30
BAR-TH-173;CDP-REGUL;2023-11-30;;2024-12-31;
BAR-TH-174;CDP-RENO;2024-01-01;;2025-12-31;2026-12-31
BAR-TH-175;CDP-RENO;2024-01-01;;2025-12-31;2026-12-31
BAR-TH-137;CFT;2017-03-01;2022-08-31;2025-12-31;2026-12-31
BAR-TH-150;CFT;2017-03-01;;2025-12-31;2026-12-31
BAR-TH-165;CFT;2020-05-20;;2025-12-31;2026-12-31
BAR-TH-166;CFT;2021-07-31;;2025-12-31;2026-12-31
BAT-TH-102;CFT;2017-03-01;2018-12-31;2025-12-31;2026-12-31
BAT-TH-113;CFT;2017-03-01;2023-02-28;2025-12-31;2026-12-31
BAT-TH-127;CFT;2017-03-01;2022-08-31;2025-12-31;2026-12-31
BAT-TH-140;CFT;2017-03-01;2018-12-31;2025-12-31;2026-12-31
BAT-TH-141;CFT;2017-03-01;2018-12-31;2025-12-31;2026-12-31
BAT-TH-157;CFT;2020-05-20;2023-02-28;2025-12-31;2026-12-31
AGRI-EQ-101;CPE;2015-01-01;;2021-12-31;
AGRI-EQ-102;CPE;2015-01-01;;2021-12-31;
AGRI-EQ-104;CPE;2015-01-01;;2021-12-31;
AGRI-EQ-105;CPE;2018-12-19;;2021-12-31;
AGRI-EQ-106;CPE;2020-01-31;;2021-12-31;
AGRI-EQ-107;CPE;2021-07-31;;2021-12-31;
AGRI-EQ-108;CPE;2021-07-31;2021-12-23;2021-12-31;
AGRI-EQ-109;CPE;2021-07-31;2021-12-23;2021-12-31;
AGRI-EQ-110;CPE;2021-07-31;;2021-12-31;
AGRI-SE-101;CPE;2016-01-04;2021-12-23;2021-12-31;
AGRI-TH-101;CPE;2015-01-01;;2021-12-31;
AGRI-TH-102;CPE;2015-01-01;;2021-12-31;
AGRI-TH-103;CPE;2015-01-01;;2021-12-31;
AGRI-TH-104;CPE;2015-01-01;2020-09-30;2021-12-31;
AGRI-TH-105;CPE;2015-01-01;;2021-12-31;
AGRI-TH-108;CPE;2015-01-01;2020-09-30;2021-12-31;
AGRI-TH-109;CPE;2015-01-01;2021-12-23;2021-12-31;
AGRI-TH-110;CPE;2015-01-01;2021-12-23;2021-12-31;
AGRI-TH-113;CPE;2015-01-01;;2021-12-31;
AGRI-TH-116;CPE;2015-01-01;2020-03-31;2021-12-31;
AGRI-TH-117;CPE;2015-01-01;;2021-12-31;
AGRI-TH-118;CPE;2015-01-01;;2021-12-31;
AGRI-TH-119;CPE;2018-12-19;;2021-12-31;
AGRI-UT-101;CPE;2015-01-01;2016-12-22;2021-12-31;
AGRI-UT-102;CPE;2015-01-01;2016-05-31;2021-12-31;
AGRI-UT-103;CPE;2016-01-04;;2021-12-31;
AGRI-UT-104;CPE;2015-01-01;;2021-12-31;
BAR-EN-101;CPE;2015-01-01;2021-12-23;;
BAR-EN-102;CPE;2015-01-01;2021-12-23;;
BAR-EN-103;CPE;2015-01-01;2021-12-23;;
BAR-EN-104;CPE;2015-01-01;2021-12-23;;
BAR-EN-105;CPE;2015-01-01;2021-12-23;;
BAR-EN-106;CPE;2015-01-01;2020-08-31;;
BAR-EN-107;CPE;2015-01-01;2016-03-12;;
BAR-EN-108;CPE;2015-01-01;2021-12-23;;
BAR-EN-109;CPE;2016-12-23;;;
BAR-EN-110;CPE;2020-08-03;;;
BAR-EQ-101;CPE;2015-01-01;2017-09-30;;
BAR-EQ-102;CPE;2015-01-01;2021-12-23;;
BAR-EQ-103;CPE;2015-01-01;2021-12-23;;
BAR-EQ-110;CPE;2015-01-01;;;
BAR-EQ-111;CPE;2015-01-01;2021-12-23;;
BAR-EQ-112;CPE;2015-01-01;2016-04-30;;
BAR-EQ-113;CPE;2015-01-01;2018-12-31;;
BAR-EQ-114;CPE;2015-01-01;2018-12-31;;
BAR-EQ-115;CPE;2019-01-01;;;
BAR-SE-104;CPE;2016-01-04;;;
BAR-SE-105;CPE;2018-12-19;;;
BAR-SE-106;CPE;2020-04-01;;;
BAR-SE-107;CPE;2020-12-31;;;
BAR-SE-108;CPE;2022-10-14;;;
BAR-SE-109;CPE;2023-09-30;;;
BAR-TH-101;CPE;2015-01-01;;;
BAR-TH-102;CPE;2015-01-01;;;
BAR-TH-104;CPE;2015-01-01;2021-12-23;;
BAR-TH-106;CPE;2015-01-01;2021-12-23;;
BAR-TH-107;CPE;2015-01-01;;;
BAR-TH-107-SE;CPE;2015-01-01;;;
BAR-TH-110;CPE;2015-01-01;;;
BAR-TH-111;CPE;2015-01-01;;;
BAR-TH-112;CPE;2015-01-01;2021-12-23;;
BAR-TH-113;CPE;2015-01-01;2021-12-23;;
BAR-TH-115;CPE;2015-01-01;2018-03-31;;
BAR-TH-116;CPE;2015-01-01;;;
BAR-TH-117;CPE;2015-01-01;;;
BAR-TH-118;CPE;2015-01-01;2021-12-23;;
BAR-TH-121;CPE;2015-01-01;2020-09-30;;
BAR-TH-122;CPE;2015-01-01;;;
BAR-TH-123;CPE;2015-01-01;2021-12-23;;
BAR-TH-124;CPE;2015-01-01;2020-09-30;;
BAR-TH-125;CPE;2015-01-01;2021-12-23;;
BAR-TH-127;CPE;2015-01-01;2021-12-23;;
BAR-TH-129;CPE;2015-01-01;2018-03-31;;
BAR-TH-130;CPE;2015-01-01;2021-12-23;;
BAR-TH-131;CPE;2015-01-01;2018-03-31;;
BAR-TH-135;CPE;2015-01-01;2020-09-30;;
BAR-TH-137;CPE;2015-01-01;2021-12-23;;
BAR-TH-139;CPE;2015-01-01;2017-01-31;;
BAR-TH-141;CPE;2015-01-01;;;
BAR-TH-143;CPE;2015-01-01;2021-12-23;;
BAR-TH-145;CPE;2015-01-01;2021-12-23;;
BAR-TH-148;CPE;2015-01-01;2014-12-31;;
BAR-TH-150;CPE;2015-01-01;;;
BAR-TH-155;CPE;2015-01-01;2021-12-23;;
BAR-TH-158;CPE;2015-01-01;2020-09-30;;
BAR-TH-159;CPE;2017-08-09;2021-12-23;;
BAR-TH-160;CPE;2018-04-01;2021-12-23;;
BAR-TH-161;CPE;2018-12-19;2021-12-23;;
BAR-TH-162;CPE;2018-12-19;;;
BAR-TH-163;CPE;2019-06-10;2021-10-31;;
BAR-TH-164;CPE;2019-09-01;2021-12-23;;
BAR-TH-165;CPE;2020-05-20;;;
BAR-TH-166;CPE;2021-07-31;;;
BAR-TH-167;CPE;2021-07-31;;;
BAR-TH-168;CPE;2021-12-29;;;
BAR-TH-169;CPE;2022-08-05;;;
BAR-TH-170;CPE;2023-09-30;2021-12-23;;
BAR-TH-171;CPE;2024-01-01;2021-12-23;;
BAR-TH-172;CPE;2024-01-01;2021-12-23;;
BAR-TH-173;CPE;2023-11-30;2021-12-23;;
BAR-TH-174;CPE;2024-01-01;2021-12-23;;
BAR-TH-175;CPE;2024-01-01;2021-12-23;;
BAR-TH-176;CPE;2023-12-29;2021-12-23;;
BAT-EN-101;CPE;2015-01-01;2020-08-31;;
BAT-EN-102;CPE;2015-01-01;2018-03-31;;
BAT-EN-103;CPE;2015-01-01;2020-08-31;;
BAT-EN-104;CPE;2015-01-01;2021-12-23;;
BAT-EN-106;CPE;2016-01-04;2020-08-31;;
BAT-EN-107;CPE;2015-01-01;2018-03-31;;
BAT-EN-108;CPE;2016-01-04;;;
BAT-EN-109;CPE;2016-12-23;;;
BAT-EN-110;CPE;2015-01-01;;;
BAT-EN-111;CPE;2021-07-31;;;
BAT-EN-112;CPE;2021-07-31;;;
BAT-EN-113;CPE;2023-09-30;;;
BAT-EQ-111;CPE;2015-01-01;2019-03-31;;
BAT-EQ-114;CPE;2016-12-23;2019-03-31;;
BAT-EQ-116;CPE;2015-01-01;2018-03-31;;
BAT-EQ-117;CPE;2016-12-23;2021-12-23;;
BAT-EQ-123;CPE;2016-06-01;2017-03-31;;
BAT-EQ-124;CPE;2015-01-01;;;
BAT-EQ-125;CPE;2016-06-01;;;
BAT-EQ-126;CPE;2015-01-01;2018-03-31;;
BAT-EQ-127;CPE;2015-01-01;2021-12-23;;
BAT-EQ-129;CPE;2015-01-01;;;
BAT-EQ-130;CPE;2016-06-01;;;
BAT-EQ-131;CPE;2015-01-01;;;
BAT-EQ-132;CPE;2015-01-01;2019-03-31;;
BAT-EQ-133;CPE;2015-01-01;;;
BAT-EQ-134;CPE;2021-12-29;2021-12-23;;
BAT-SE-103;CPE;2016-01-04;;;
BAT-SE-104;CPE;2019-09-01;;;
BAT-SE-105;CPE;2020-01-31;;;
BAT-TH-102;CPE;2015-01-01;2018-12-31;;
BAT-TH-103;CPE;2015-01-01;2019-09-30;;
BAT-TH-104;CPE;2015-01-01;2020-03-31;;
BAT-TH-105;CPE;2015-01-01;2020-03-31;;
BAT-TH-106;CPE;2015-01-01;2018-03-31;;
BAT-TH-108;CPE;2016-06-01;;;
BAT-TH-109;CPE;2016-06-01;2021-12-23;;
BAT-TH-110;CPE;2015-01-01;;;
BAT-TH-111;CPE;2015-01-01;;;
BAT-TH-112;CPE;2015-01-01;2016-05-31;;
BAT-TH-113;CPE;2015-01-01;2021-12-23;;
BAT-TH-115;CPE;2015-01-01;2014-12-31;;
BAT-TH-116;CPE;2015-01-01;2021-12-23;;
BAT-TH-119;CPE;2015-01-01;2018-03-31;;
BAT-TH-121;CPE;2015-01-01;2020-09-30;;
BAT-TH-122;CPE;2016-06-01;;;
BAT-TH-125;CPE;2015-01-01;2020-03-31;;
BAT-TH-126;CPE;2015-01-01;2020-03-31;;
BAT-TH-127;CPE;2015-01-01;2021-12-23;;
BAT-TH-134;CPE;2016-06-01;;;
BAT-TH-135;CPE;2015-01-01;;;
BAT-TH-139;CPE;2015-01-01;2020-09-30;;
BAT-TH-140;CPE;2015-01-01;2018-12-31;;
BAT-TH-141;CPE;2015-01-01;2018-12-31;;
BAT-TH-142;CPE;2016-01-04;2021-12-23;;
BAT-TH-143;CPE;2015-01-01;;;
BAT-TH-145;CPE;2015-01-01;;;
BAT-TH-146;CPE;2018-04-01;2021-12-23;;
BAT-TH-153;CPE;2018-12-19;;;
BAT-TH-154;CPE;2018-12-19;;;
BAT-TH-155;CPE;2018-12-19;2021-12-23;;
BAT-TH-156;CPE;2019-09-01;;;
BAT-TH-157;CPE;2020-05-20;2021-12-23;;
BAT-TH-158;CPE;2021-12-29;2021-12-23;;
BAT-TH-159;CPE;2021-12-29;;;
BAT-TH-160;CPE;2023-09-30;2021-12-23;;
IND-BA-110;CPE;2015-01-01;2016-03-12;2021-12-31;
IND-BA-112;CPE;2015-01-01;2015-09-30;2021-12-31;
IND-BA-113;CPE;2015-01-01;;2021-12-31;
IND-BA-114;CPE;2015-01-01;;2021-12-31;
IND-BA-115;CPE;2015-01-01;2019-03-31;2021-12-31;
IND-BA-116;CPE;2018-01-11;2021-12-23;2021-12-31;
IND-BA-117;CPE;2018-01-11;;2021-12-31;
IND-EN-101;CPE;2015-01-01;;2021-12-31;
IND-EN-102;CPE;2016-01-04;2020-08-31;2021-12-31;
IND-UT-102;CPE;2015-01-01;2015-12-31;2021-12-31;
IND-UT-103;CPE;2015-01-01;2015-09-30;2021-12-31;
IND-UT-104;CPE;2015-01-01;;2021-12-31;
IND-UT-105;CPE;2015-01-01;;2021-12-31;
IND-UT-112;CPE;2015-01-01;2021-12-23;2021-12-31;
IND-UT-113;CPE;2015-01-01;;2021-12-31;
IND-UT-114;CPE;2015-01-01;2016-12-22;2021-12-31;
IND-UT-115;CPE;2015-01-01;;2021-12-31;
IND-UT-116;CPE;2015-01-01;;2021-12-31;
IND-UT-117;CPE;2015-01-01;2020-09-30;2021-12-31;
IND-UT-118;CPE;2015-01-01;;2021-12-31;
IND-UT-120;CPE;2015-01-01;;2021-12-31;
IND-UT-121;CPE;2015-01-01;2021-12-23;2021-12-31;
IND-UT-122;CPE;2015-01-01;;2021-12-31;
IND-UT-123;CPE;2015-01-01;2021-12-23;2021-12-31;
IND-UT-124;CPE;2015-01-01;;2021-12-31;
IND-UT-125;CPE;2015-01-01;;2021-12-31;
IND-UT-127;CPE;2015-01-01;2014-12-31;2021-12-31;
IND-UT-129;CPE;2015-01-01;2020-03-31;2021-12-31;
IND-UT-130;CPE;2016-01-04;;2021-12-31;
IND-UT-131;CPE;2016-12-23;2020-03-31;2021-12-31;
IND-UT-132;CPE;2017-08-09;;2021-12-31;
IND-UT-133;CPE;2018-12-19;;2021-12-31;
IND-UT-134;CPE;2018-12-19;2020-09-30;2021-12-31;
IND-UT-135;CPE;2019-09-01;;2021-12-31;
IND-UT-136;CPE;2019-09-01;;2021-12-31;
RES-CH-101;CPE;2015-01-01;;2021-12-31;
RES-CH-103;CPE;2015-01-01;2020-10-11;2021-12-31;
RES-CH-104;CPE;2015-01-01;2020-10-11;2021-12-31;
RES-CH-105;CPE;2016-12-23;2020-10-11;2021-12-31;
RES-CH-106;CPE;2015-01-01;2021-12-23;2021-12-31;
RES-CH-107;CPE;2016-12-23;2020-10-11;2021-12-31;
RES-CH-108;CPE;2020-04-01;2021-12-23;2021-12-31;
RES-EC-101;CPE;2015-01-01;2021-12-23;2021-12-31;
RES-EC-102;CPE;2015-01-01;2021-12-23;2021-12-31;
RES-EC-103;CPE;2015-01-01;;2021-12-31;
RES-EC-104;CPE;2015-01-01;;2021-12-31;
RES-EC-107;CPE;2015-01-01;2021-12-23;2021-12-31;
TRA-EQ-101;CPE;2015-01-01;;2021-12-31;
TRA-EQ-103;CPE;2015-01-01;;2021-12-31;
TRA-EQ-104;CPE;2015-01-01;;2021-12-31;
TRA-EQ-106;CPE;2015-01-01;;2021-12-31;
TRA-EQ-107;CPE;2015-01-01;;2021-12-31;
TRA-EQ-108;CPE;2015-01-01;2020-03-31;2021-12-31;
TRA-EQ-109;CPE;2015-01-01;;2021-12-31;
TRA-EQ-110;CPE;2015-01-01;;2021-12-31;
TRA-EQ-111;CPE;2016-12-23;;2021-12-31;
TRA-EQ-113;CPE;2015-01-01;;2021-12-31;
TRA-EQ-114;CPE;2015-01-01;;2021-12-31;
TRA-EQ-115;CPE;2015-01-01;;2021-12-31;
TRA-EQ-117;CPE;2015-01-01;;2021-12-31;
TRA-EQ-118;CPE;2015-01-01;;2021-12-31;
TRA-EQ-119;CPE;2015-01-01;2015-09-30;2021-12-31;
TRA-EQ-120;CPE;2018-01-11;;2021-12-31;
TRA-EQ-121;CPE;2018-12-19;2021-12-23;2021-12-31;
TRA-EQ-122;CPE;2020-01-31;;2021-12-31;
TRA-EQ-123;CPE;2020-01-31;2021-10-31;2021-12-31;
TRA-EQ-124;CPE;2020-08-03;;2021-12-31;
TRA-EQ-125;CPE;2021-07-31;2021-12-23;2021-12-31;
TRA-EQ-126;CPE;2022-02-23;;2021-12-31;
TRA-EQ-127;CPE;2023-09-30;2021-12-23;2021-12-31;
TRA-EQ-128;CPE;2023-12-29;2021-12-23;2021-12-31;
TRA-SE-101;CPE;2015-01-01;;2021-12-31;
TRA-SE-102;CPE;2015-01-01;;2021-12-31;
TRA-SE-104;CPE;2015-01-01;;2021-12-31;
TRA-SE-105;CPE;2015-01-01;;2021-12-31;
TRA-SE-106;CPE;2015-01-01;2014-12-31;2021-12-31;
TRA-SE-107;CPE;2015-01-01;;2021-12-31;
TRA-SE-108;CPE;2015-01-01;;2021-12-31;
TRA-SE-109;CPE;2015-01-01;;2021-12-31;
TRA-SE-110;CPE;2015-01-01;;2021-12-31;
TRA-SE-111;CPE;2015-01-01;;2021-12-31;
TRA-SE-112;CPE;2015-01-01;;2021-12-31;
TRA-SE-113;CPE;2015-01-01;;2021-12-31;
TRA-SE-114;CPE;2023-01-01;;2021-12-31;
TRA-SE-115;CPE;2023-01-01;;2021-12-31;
TRA-SE-116;CPE;2022-10-29;2021-12-23;2021-12-31;
BAR-TH-145;CRC;2018-04-01;2023-07-01;2025-12-31;2026-12-31
BAR-TH-164;CRM;2020-10-12;2024-12-31;2025-12-31;2026-12-31
BAR-TH-118;CTH;2020-06-25;2021-04-16;2021-12-31;2022-04-30
AGRI-EQ-101;ETS;2015-01-01;;2021-12-31;2025-12-31
AGRI-EQ-102;ETS;2015-01-01;;2021-12-31;2025-12-31
AGRI-EQ-104;ETS;2015-01-01;;2021-12-31;2025-12-31
AGRI-EQ-105;ETS;2018-12-19;;2021-12-31;2025-12-31
AGRI-EQ-106;ETS;2020-01-31;;2021-12-31;2025-12-31
AGRI-EQ-107;ETS;2021-07-31;;2021-12-31;2025-12-31
AGRI-EQ-108;ETS;2021-07-31;2021-12-23;2021-12-31;2025-12-31
AGRI-EQ-109;ETS;2021-07-31;2021-12-23;2021-12-31;2025-12-31
AGRI-EQ-110;ETS;2021-07-31;;2021-12-31;2025-12-31
AGRI-SE-101;ETS;2016-01-04;2021-12-23;2021-12-31;2025-12-31
AGRI-TH-101;ETS;2015-01-01;;2021-12-31;2025-12-31
AGRI-TH-102;ETS;2015-01-01;;2021-12-31;2025-12-31
AGRI-TH-103;ETS;2015-01-01;;2021-12-31;2025-12-31
AGRI-TH-104;ETS;2015-01-01;2020-09-30;2021-12-31;2025-12-31
AGRI-TH-105;ETS;2015-01-01;;2021-12-31;2025-12-31
AGRI-TH-108;ETS;2015-01-01;2020-09-30;2021-12-31;2025-12-31
AGRI-TH-109;ETS;2015-01-01;2021-12-23;2021-12-31;2025-12-31
AGRI-TH-110;ETS;2015-01-01;2021-12-23;2021-12-31;2025-12-31
AGRI-TH-113;ETS;2015-01-01;;2021-12-31;2025-12-31
AGRI-TH-116;ETS;2015-01-01;2020-03-31;2021-12-31;2025-12-31
AGRI-TH-117;ETS;2015-01-01;;2021-12-31;2025-12-31
AGRI-TH-118;ETS;2015-01-01;;2021-12-31;2025-12-31
AGRI-TH-119;ETS;2018-12-19;;2021-12-31;2025-12-31
AGRI-UT-101;ETS;2015-01-01;2016-12-22;2021-12-31;2025-12-31
AGRI-UT-102;ETS;2015-01-01;2016-05-31;2021-12-31;2025-12-31
AGRI-UT-103;ETS;2016-01-04;;2021-12-31;2025-12-31
AGRI-UT-104;ETS;2015-01-01;;2021-12-31;2025-12-31
BAR-EN-101;ETS;2015-01-01;2021-12-23;2021-12-31;2025-12-31
BAR-EN-102;ETS;2015-01-01;2021-12-23;2021-12-31;2025-12-31
BAR-EN-103;ETS;2015-01-01;2021-12-23;2021-12-31;2025-12-31
BAR-EN-104;ETS;2015-01-01;2021-12-23;2021-12-31;2025-12-31
BAR-EN-105;ETS;2015-01-01;2021-12-23;2021-12-31;2025-12-31
BAR-EN-106;ETS;2015-01-01;2020-08-31;2021-12-31;2025-12-31
BAR-EN-107;ETS;2015-01-01;2016-03-12;2021-12-31;2025-12-31
BAR-EN-108;ETS;2015-01-01;2021-12-23;2021-12-31;2025-12-31
BAR-EN-109;ETS;2016-12-23;;2021-12-31;2025-12-31
BAR-EN-110;ETS;2020-08-03;;2021-12-31;2025-12-31
BAR-EQ-101;ETS;2015-01-01;2017-09-30;2021-12-31;2025-12-31
BAR-EQ-102;ETS;2015-01-01;2021-12-23;2021-12-31;2025-12-31
BAR-EQ-103;ETS;2015-01-01;2021-12-23;2021-12-31;2025-12-31
BAR-EQ-110;ETS;2015-01-01;;2021-12-31;2025-12-31
BAR-EQ-111;ETS;2015-01-01;2021-12-23;2021-12-31;2025-12-31
BAR-EQ-112;ETS;2015-01-01;2016-04-30;2021-12-31;2025-12-31
BAR-EQ-113;ETS;2015-01-01;2018-12-31;2021-12-31;2025-12-31
BAR-EQ-114;ETS;2015-01-01;2018-12-31;2021-12-31;2025-12-31
BAR-EQ-115;ETS;2019-01-01;;2021-12-31;2025-12-31
BAR-SE-104;ETS;2016-01-04;;2021-12-31;2025-12-31
BAR-SE-105;ETS;2018-12-19;;2021-12-31;2025-12-31
BAR-SE-106;ETS;2020-04-01;;2021-12-31;2025-12-31
BAR-SE-107;ETS;2020-12-31;;2021-12-31;2025-12-31
BAR-SE-108;ETS;2022-10-14;;2021-12-31;2025-12-31
BAR-SE-109;ETS;2023-09-30;;2021-12-31;2025-12-31
BAR-TH-101;ETS;2015-01-01;;2021-12-31;2025-12-31
BAR-TH-102;ETS;2015-01-01;;2021-12-31;2025-12-31
BAR-TH-104;ETS;2015-01-01;2021-12-23;2021-12-31;2025-12-31
BAR-TH-106;ETS;2015-01-01;2021-12-23;2021-12-31;2025-12-31
BAR-TH-107;ETS;2015-01-01;;2021-12-31;2025-12-31
BAR-TH-107-SE;ETS;2015-01-01;;2021-12-31;2025-12-31
BAR-TH-110;ETS;2015-01-01;;2021-12-31;2025-12-31
BAR-TH-111;ETS;2015-01-01;;2021-12-31;2025-12-31
BAR-TH-112;ETS;2015-01-01;2021-12-23;2021-12-31;2025-12-31
BAR-TH-113;ETS;2015-01-01;2021-12-23;2021-12-31;2025-12-31
BAR-TH-115;ETS;2015-01-01;2018-03-31;2021-12-31;2025-12-31
BAR-TH-116;ETS;2015-01-01;;2021-12-31;2025-12-31
BAR-TH-117;ETS;2015-01-01;;2021-12-31;2025-12-31
BAR-TH-118;ETS;2015-01-01;2021-12-23;2021-12-31;2025-12-31
BAR-TH-121;ETS;2015-01-01;2020-09-30;2021-12-31;2025-12-31
BAR-TH-122;ETS;2015-01-01;;2021-12-31;2025-12-31
BAR-TH-123;ETS;2015-01-01;2021-12-23;2021-12-31;2025-12-31
BAR-TH-124;ETS;2015-01-01;2020-09-30;2021-12-31;2025-12-31
BAR-TH-125;ETS;2015-01-01;2021-12-23;2021-12-31;2025-12-31
BAR-TH-127;ETS;2015-01-01;2021-12-23;2021-12-31;2025-12-31
BAR-TH-129;ETS;2015-01-01;2018-03-31;2021-12-31;2025-12-31
BAR-TH-130;ETS;2015-01-01;2021-12-23;2021-12-31;2025-12-31
